Right Hand
==============
     JOINT_INDEX_JT2)	X: 0.173282, Y: 0.020608, Z: 0.330151 
     JOINT_INDEX_TIP)	X: 0.157945, Y: 0.012805, Z: 0.319960 
     JOINT_MIDDLE_BASE)	X: 0.145633, Y: 0.073409, Z: 0.313319 
     JOINT_MIDDLE_JT1)	X: 0.179124, Y: 0.039215, Z: 0.316937 
     JOINT_MIDDLE_JT2)	X: 0.166688, Y: 0.015260, Z: 0.309489 
     JOINT_MIDDLE_TIP)	X: 0.157804, Y: -0.001851, Z: 0.304169 
     JOINT_RING_BASE)	X: 0.147968, Y: 0.071110, Z: 0.292335 
     JOINT_RING_JT1)	X: 0.178561, Y: 0.040927, Z: 0.293783 
     JOINT_RING_JT2)	X: 0.168745, Y: 0.023740, Z: 0.284179 
     JOINT_RING_TIP)	X: 0.159822, Y: 0.008114, Z: 0.275448 
     JOINT_PINKY_BASE)	X: 0.146860, Y: 0.061689, Z: 0.266516 
     JOINT_PINKY_JT1)	X: 0.171432, Y: 0.035230, Z: 0.274584 
     JOINT_PINKY_JT2)	X: 0.173901, Y: 0.019245, Z: 0.269349 
     JOINT_PINKY_TIP)	X: 0.176079, Y: 0.005141, Z: 0.264731 
Right Hand
==============
     JOINT_WRIST)	X: 0.111942, Y: -0.003030, Z: 0.298478 
     JOINT_CENTER)	X: 0.127021, Y: 0.036036, Z: 0.301721 
     JOINT_THUMB_BASE)	X: 0.107992, Y: 0.006632, Z: 0.317045 
     JOINT_THUMB_JT1)	X: 0.141442, Y: 0.024058, Z: 0.321675 
     JOINT_THUMB_JT2)	X: 0.166685, Y: 0.016041, Z: 0.302840 
     JOINT_THUMB_TIP)	X: 0.184028, Y: 0.020005, Z: 0.290240 
     JOINT_INDEX_BASE)	X: 0.132114, Y: 0.075145, Z: 0.328107 
     JOINT_INDEX_JT1)	X: 0.166100, Y: 0.049584, Z: 0.339401 
     JOINT_INDEX_JT2)	X: 0.167561, Y: 0.028361, Z: 0.333793 
     JOINT_INDEX_TIP)	X: 0.153002, Y: 0.019830, Z: 0.323057 
     JOINT_MIDDLE_BASE)	X: 0.141382, Y: 0.073241, Z: 0.304809 
     JOINT_MIDDLE_JT1)	X: 0.177028, Y: 0.044915, Z: 0.320007 
     JOINT_MIDDLE_JT2)	X: 0.162421, Y: 0.022009, Z: 0.313230 
     JOINT_MIDDLE_TIP)	X: 0.151987, Y: 0.005647, Z: 0.308390 
     JOINT_RING_BASE)	X: 0.147389, Y: 0.067463, Z: 0.285275 
     JOINT_RING_JT1)	X: 0.180153, Y: 0.042273, Z: 0.297147 
     JOINT_RING_JT2)	X: 0.169335, Y: 0.025366, Z: 0.288142 
     JOINT_RING_TIP)	X: 0.159499, Y: 0.009996, Z: 0.279955 
     JOINT_PINKY_BASE)	X: 0.151527, Y: 0.053413, Z: 0.261992 
     JOINT_PINKY_JT1)	X: 0.176882, Y: 0.032279, Z: 0.278708 
     JOINT_PINKY_JT2)	X: 0.173718, Y: 0.017908, Z: 0.270195 
     JOINT_PINKY_TIP)	X: 0.170926, Y: 0.005228, Z: 0.262683 
Right Hand
==============
     JOINT_WRIST)	X: 0.118231, Y: -0.006960, Z: 0.295903 
     JOINT_CENTER)	X: 0.129213, Y: 0.033444, Z: 0.299204 
     JOINT_THUMB_BASE)	X: 0.107527, Y: 0.004104, Z: 0.310624 
     JOINT_THUMB_JT1)	X: 0.133031, Y: 0.027893, Z: 0.325711 
     JOINT_THUMB_JT2)	X: 0.164776, Y: 0.022885, Z: 0.320873 
     JOINT_THUMB_TIP)	X: 0.185252, Y: 0.028730, Z: 0.316204 
     JOINT_INDEX_BASE)	X: 0.122728, Y: 0.075289, Z: 0.320620 
     JOINT_INDEX_JT1)	X: 0.151699, Y: 0.054145, Z: 0.346108 
     JOINT_INDEX_JT2)	X: 0.153777, Y: 0.032638, Z: 0.341972 
     JOINT_INDEX_TIP)	X: 0.142900, Y: 0.024141, Z: 0.327498 
     JOINT_MIDDLE_BASE)	X: 0.139672, Y: 0.071924, Z: 0.302348 
     JOINT_MIDDLE_JT1)	X: 0.169093, Y: 0.048618, Z: 0.332268 
     JOINT_MIDDLE_JT2)	X: 0.157481, Y: 0.025174, Z: 0.322291 
     JOINT_MIDDLE_TIP)	X: 0.149186, Y: 0.008428, Z: 0.315165 
     JOINT_RING_BASE)	X: 0.152441, Y: 0.064799, Z: 0.286945 
     JOINT_RING_JT1)	X: 0.180178, Y: 0.044007, Z: 0.312388 
     JOINT_RING_JT2)	X: 0.173634, Y: 0.025748, Z: 0.302007 
     JOINT_RING_TIP)	X: 0.167685, Y: 0.009148, Z: 0.292569 
     JOINT_PINKY_BASE)	X: 0.165198, Y: 0.048935, Z: 0.268447 
     JOINT_PINKY_JT1)	X: 0.182961, Y: 0.031955, Z: 0.296109 
     JOINT_PINKY_JT2)	X: 0.180061, Y: 0.017558, Z: 0.287547 
     JOINT_PINKY_TIP)	X: 0.177503, Y: 0.004854, Z: 0.279993 
Right Hand
==============
     JOINT_WRIST)	X: 0.119993, Y: -0.007276, Z: 0.293971 
     JOINT_CENTER)	X: 0.130338, Y: 0.033258, Z: 0.297708 
     JOINT_THUMB_BASE)	X: 0.107419, Y: 0.004070, Z: 0.306889 
     JOINT_THUMB_JT1)	X: 0.127335, Y: 0.029928, Z: 0.326350 
     JOINT_THUMB_JT2)	X: 0.159513, Y: 0.026643, Z: 0.329516 
     JOINT_THUMB_TIP)	X: 0.180202, Y: 0.033514, Z: 0.329574 
     JOINT_INDEX_BASE)	X: 0.120986, Y: 0.075558, Z: 0.317071 
     JOINT_INDEX_JT1)	X: 0.145384, Y: 0.055022, Z: 0.347386 
     JOINT_INDEX_JT2)	X: 0.139622, Y: 0.036403, Z: 0.337183 
     JOINT_INDEX_TIP)	X: 0.134383, Y: 0.019475, Z: 0.327908 
     JOINT_MIDDLE_BASE)	X: 0.140191, Y: 0.071862, Z: 0.301267 
     JOINT_MIDDLE_JT1)	X: 0.165491, Y: 0.049440, Z: 0.335343 
     JOINT_MIDDLE_JT2)	X: 0.155352, Y: 0.025700, Z: 0.324498 
     JOINT_MIDDLE_TIP)	X: 0.148110, Y: 0.008742, Z: 0.316752 
     JOINT_RING_BASE)	X: 0.154892, Y: 0.064450, Z: 0.287850 
     JOINT_RING_JT1)	X: 0.178347, Y: 0.044354, Z: 0.317767 
     JOINT_RING_JT2)	X: 0.171859, Y: 0.025684, Z: 0.308106 
     JOINT_RING_TIP)	X: 0.165961, Y: 0.008711, Z: 0.299324 
     JOINT_PINKY_BASE)	X: 0.170010, Y: 0.048228, Z: 0.271574 
     JOINT_PINKY_JT1)	X: 0.183242, Y: 0.032112, Z: 0.302139 
     JOINT_PINKY_JT2)	X: 0.180174, Y: 0.017366, Z: 0.294256 
     JOINT_PINKY_TIP)	X: 0.177466, Y: 0.004354, Z: 0.287301 
Right Hand
==============
     JOINT_WRIST)	X: 0.121009, Y: -0.007761, Z: 0.293461 
     JOINT_CENTER)	X: 0.131143, Y: 0.032931, Z: 0.295806 
     JOINT_THUMB_BASE)	X: 0.106068, Y: 0.004756, Z: 0.302050 
     JOINT_THUMB_JT1)	X: 0.128542, Y: 0.028692, Z: 0.321182 
     JOINT_THUMB_JT2)	X: 0.160076, Y: 0.021821, Z: 0.325010 
     JOINT_THUMB_TIP)	X: 0.181416, Y: 0.026269, Z: 0.325260 
     JOINT_INDEX_BASE)	X: 0.118563, Y: 0.076863, Z: 0.308586 
     JOINT_INDEX_JT1)	X: 0.134590, Y: 0.059206, Z: 0.345564 
     JOINT_INDEX_JT2)	X: 0.130473, Y: 0.039599, Z: 0.336473 
     JOINT_INDEX_TIP)	X: 0.126731, Y: 0.021775, Z: 0.328209 
     JOINT_MIDDLE_BASE)	X: 0.140794, Y: 0.071685, Z: 0.298040 
     JOINT_MIDDLE_JT1)	X: 0.157076, Y: 0.052500, Z: 0.338915 
     JOINT_MIDDLE_JT2)	X: 0.149159, Y: 0.027867, Z: 0.328214 
     JOINT_MIDDLE_TIP)	X: 0.143503, Y: 0.010272, Z: 0.320570 
     JOINT_RING_BASE)	X: 0.158009, Y: 0.063035, Z: 0.289102 
     JOINT_RING_JT1)	X: 0.172754, Y: 0.045830, Z: 0.325647 
     JOINT_RING_JT2)	X: 0.166830, Y: 0.026441, Z: 0.317104 
     JOINT_RING_TIP)	X: 0.161445, Y: 0.008815, Z: 0.309338 
     JOINT_PINKY_BASE)	X: 0.176085, Y: 0.045346, Z: 0.278287 
     JOINT_PINKY_JT1)	X: 0.181261, Y: 0.032203, Z: 0.312484 
     JOINT_PINKY_JT2)	X: 0.179203, Y: 0.016799, Z: 0.305593 
     JOINT_PINKY_TIP)	X: 0.177387, Y: 0.003208, Z: 0.299512 
Right Hand
==============
     JOINT_WRIST)	X: 0.127201, Y: -0.010620, Z: 0.291608 
     JOINT_CENTER)	X: 0.135156, Y: 0.030455, Z: 0.295292 
     JOINT_THUMB_BASE)	X: 0.111146, Y: 0.000993, Z: 0.299423 
     JOINT_THUMB_JT1)	X: 0.112370, Y: 0.032326, Z: 0.320887 
     JOINT_THUMB_JT2)	X: 0.136474, Y: 0.036425, Z: 0.342298 
     JOINT_THUMB_TIP)	X: 0.152086, Y: 0.047594, Z: 0.352631 
     JOINT_INDEX_BASE)	X: 0.119646, Y: 0.073469, Z: 0.307974 
     JOINT_INDEX_JT1)	X: 0.132642, Y: 0.055899, Z: 0.346162 
     JOINT_INDEX_JT2)	X: 0.127283, Y: 0.036494, Z: 0.337290 
     JOINT_INDEX_TIP)	X: 0.122411, Y: 0.018853, Z: 0.329224 
     JOINT_MIDDLE_BASE)	X: 0.142732, Y: 0.069573, Z: 0.298802 
     JOINT_MIDDLE_JT1)	X: 0.157295, Y: 0.050374, Z: 0.340315 
     JOINT_MIDDLE_JT2)	X: 0.151294, Y: 0.025610, Z: 0.328708 
     JOINT_MIDDLE_TIP)	X: 0.147008, Y: 0.007921, Z: 0.320418 
     JOINT_RING_BASE)	X: 0.160886, Y: 0.061938, Z: 0.290851 
     JOINT_RING_JT1)	X: 0.172423, Y: 0.044955, Z: 0.328633 
     JOINT_RING_JT2)	X: 0.164889, Y: 0.025901, Z: 0.320622 
     JOINT_RING_TIP)	X: 0.158041, Y: 0.008579, Z: 0.313339 
     JOINT_PINKY_BASE)	X: 0.180462, Y: 0.045355, Z: 0.280931 
     JOINT_PINKY_JT1)	X: 0.182429, Y: 0.032275, Z: 0.315486 
     JOINT_PINKY_JT2)	X: 0.178673, Y: 0.017146, Z: 0.308703 
     JOINT_PINKY_TIP)	X: 0.175359, Y: 0.003797, Z: 0.302719 
Right Hand
==============
     JOINT_WRIST)	X: 0.147688, Y: -0.019224, Z: 0.301295 
     JOINT_CENTER)	X: 0.146627, Y: 0.022448, Z: 0.296164 
     JOINT_THUMB_BASE)	X: 0.128360, Y: -0.010435, Z: 0.302987 
     JOINT_THUMB_JT1)	X: 0.100982, Y: 0.014274, Z: 0.293826 
     JOINT_THUMB_JT2)	X: 0.089409, Y: 0.034755, Z: 0.316250 
     JOINT_THUMB_TIP)	X: 0.082703, Y: 0.054055, Z: 0.323851 
     JOINT_INDEX_BASE)	X: 0.120732, Y: 0.062190, Z: 0.294883 
